total_bill,tip,sex,smoker,day,time,party_size
44.36,37.10,M,NO,FRI,DINNER,1
29.98,18.67,F,YES,SAT,LUNCH,1
121.69,64.55,M,NO,SUN,DINNER,3
114.57,1.76,F,NO,FRI,LUNCH,5
63.55,33.19,M,YES,SUN,LUNCH,7
121.39,10.63,F,NO,FRI,DINNER,2
88.65,9.28,F,NO,FRI,DINNER,5
60.94,43.23,M,YES,SAT,LUNCH,4
123.34,67.59,M,NO,SUN,DINNER,2
90.91,34.74,F,NO,FRI,LUNCH,3
51.19,32.99,F,YES,SUN,DINNER,1
104.67,15.04,F,NO,FRI,LUNCH,4
52.86,27.59,M,NO,FRI,LUNCH,2
52.12,6.40,F,YES,SAT,DINNER,2
111.89,110.27,M,NO,SUN,DINNER,4
73.88,35.12,F,NO,FRI,LUNCH,7
94.99,12.61,M,YES,SUN,DINNER,6
64.80,15.16,F,NO,FRI,LUNCH,5
62.06,20.86,F,YES,FRI,DINNER,5
57.03,29.34,M,YES,SAT,LUNCH,2
98.29,72.77,F,NO,SUN,LUNCH,3
83.78,2.12,M,YES,FRI,DINNER,3
101.77,55.22,F,YES,SUN,DINNER,2
65.21,52.98,F,YES,FRI,LUNCH,4
65.16,61.25,M,NO,FRI,DINNER,3
70.15,59.01,M,YES,SAT,LUNCH,2
94.21,70.20,F,YES,SUN,DINNER,2
94.24,94.09,F,NO,FRI,LUNCH,6
